Key,EN,RU,FR,DE,ES,IT
item/Tree1,Seeds,Семена,Graines,Samen,Semillas,Semi
item/Tree2,Small sprout,Росток,Petite pousse,Kleiner Spross,Brote pequeño,Piccolo germoglio
item/Tree3,Small sprout,Росток,Petite pousse,Kleiner Spross,Brote pequeño,Piccolo germoglio
item/Tree4,Sapling,Саженец,Arbrisseau,Setzling,Plantel,Alberello
item/Tree5,Small tree,Деревцо,Petit arbre,Kleiner Baum,Árbol pequeño,Piccolo albero
item/Tree6,Young tree,Молодое дерево,Jeune arbre,Junger Baum,Árbol joven,Giovane albero
item/Tree7,Tree,Дерево,Arbre,Baum,Árbol,Albero
item/Tree8,Big tree,Большое дерево,Grand arbre,Großer Baum,Árbol grande,Grande albero
item/Boards1,Log,Бревно,Bûche,Baumstamm,Tronco,Tronco
item/Boards2,Board,Доска,Planche,Brett,Tablón,Tavola
item/Boards3,Pair of boards,Пара досок,Paire de planches,Paar Bretter,Par de tablones,Coppia di tavole
item/Boards4,Bunch of boards,Стопка досок,Tas de planches,Bündel Bretter,Montón de tablones,Mucchio di tavole
item/Boards5,Bunch of boards,Пачка досок,Tas de planches,Bündel Bretter,Montón de tablones,Mucchio di tavole
item/Boards6,Stack of boards,Большая пачка досок,Pile de planches,Bretterstapel,Pila de tablones,Pila di tavole
item/XpStar1,XpStar,XpStar,XpStar,Xp-Stern,Estrella EXP.,XpStar
item/XpStar2,XpStar,XpStar,XpStar,Xp-Stern,Estrella EXP.,XpStar
item/XpStar3,XpStar,XpStar,XpStar,Xp-Stern,Estrella EXP.,XpStar
item/XpStar4,XpStar,XpStar,XpStar,Xp-Stern,Estrella EXP.,XpStar
item/XpStar5,XpStar,XpStar,XpStar,Xp-Stern,Estrella EXP.,XpStar
item/PigBank1,Piggy bank,Маленькая свинка,Tirelire,Sparschwein,Hucha,Salvadanaio
item/PigBank2,Big piggy bank,Свинья-копилка,Grande tirelire,Großes Sparschwein,Hucha grande,Grande salvadanaio
item/PigBank3,Gift piggy bank,Подарочная свинья,Tirelire cadeau,Geschenk-Sparschwein,Hucha de regalos,Salvadanaio regalo
item/PigBank4,Royal piggy bank,Богатая свинья,Tirelire royale,Königliches Sparschwein,Hucha real,Salvadanaio reale
item/Gloves1,Glove,Перчатка,Gant,Handschuh,Guante,Guanto
item/Gloves2,Gloves,Перчатки,Gants,Handschuhe,Guantes,Guanti
item/Gloves3,Work gloves,Укреп. перчатки,Gants de travail,Arbeitshandschuhe,Guantes de trabajo,Guanti da lavoro
item/Gloves4,Heavy gloves,Тяжёлые перчатки,Gants lourds,Schwere Handschuhe,Guantes pesados,Guanti pesanti
item/Tool1,Spanner,Гаечный ключ,Clé,Schraubenschlüssel,Llave inglesa,Chiave
item/Tool2,Pliers,Пассатижи,Pinces,Zange,Alicates,Pinze
item/Tool3,Knife,Нож,Couteau,Messer,Cuchillo,Lama
item/Tool4,Mallet,Киянка,Maillet,Schlägel,Mazo,Maglio
item/Tool5,Screwdriver,Отвёртка,Tournevis,Schraubenzieher,Destornillador,Cacciavite
item/Tool6,Wrench,Гаечный ключ,Clé à molette,Rohrzange,Llave,Chiave inglese
